text,scene
"Any station, this is Foxtrot 2 November. I have four civilians and seven marines, we're heading to Alternate Extraction Point Charlie. Requesting evacuation. I say again, this is Foxtrot 2 November heading to Alternate Extraction Point Charlie. Out.",90
Use the thermal sight. No lights.,92
"Extract site's only a couple more miles, Imlay.",96
We gotta go around.,96
"Get ready, Imlay. Here they come.",96
"Think I see our ride, sergeant!",96
Get us there. Cause we're about to get lit up.,96
"See what that Bushmaster can do, Imlay!",96
"Come on, you martian bastards!",96
Where'd they go? Where'd they go?,96
"Imlay, on your six!",96
Son of a...,96
"Getting close, Imlay...",96
I got it.,96
"Stand on it, Stavrou!",96
The chopper!,96
Last stop!,96
Everybody out!,96
"Pretty decent shooting, Imlay.",96
"Goddamn, you did it, sergeant! We're gonna get these people out!",96
"You are in the middle of the shit, Sergeant! Everything's been pulled back.",96
What are you talking about?!,96
We've lost most of our air assets. We're abandoning Los Angeles. This city's done...! Let's go!,96
What the hell happened?!,97
Something there was playing hell with our power!,97
Set us back down!,97
What?!,97
We need to recon that area!,97
We can't land! May not have power to take off again...,97
Then we'll rope down!,97
"What the hell, sergeant? What's going on?",97
"There's something over there... We could be the only ones left here to figure out what it is. Let's go, marines.",97
NOW! Go! Go!,97
They'll get you safe.,97
"See you soon, buddy.",97
What are you gonna do?,97
We're gonna fight.,97
"Why'd we get off the chopper, Sergeant?",98
'Cause we have a job to do.,98
But we were getting out...!,98
You have some hunch and now we're stuck out here in the shit?!,98
That's right. This fight's not over.,98
Sergeant's gonna get us killed! Just like my brother.,98
"Believe me, Correggio, I grieved for every marine I ever lost...",98
"But we are in the fight of our lives right now. And our duty is to keep moving forward. Keep fighting. That's how we honor men like your brother, Correggio. And Lt. Martinez. And Hector's father, who saved Adukwu's life. He wasn't trained for that. He just picked up a rifle and did what needed to be done. If a civilian can do that...",98
Well then I better square my shit away and do whatever I have to do to defeat this enemy. But I can't do it alone.,98
"I need you men. And maybe we'll die fighting today. Not because we're heroes. But because we're goddamn United States marines, and always will be. I'm willing to give my full measure for you. I'm hoping you'll do the same for me.",98
Sergeant. We'll follow you to hell and back.,98
Good. 'Cause that's where we're going.,98
"Laser target, sir?",100
Might have to get some cruise missiles in here.,100
"Shit, yes, Sergeant.",100
Hostiles. Twelve o'clock.,100
"Just hit the gas, Corporal. We got plenty of armor.",100
"Reverse, Corporal.",100
"Aye, aye, Sergeant.",100
What's going on?,101
"Losing power, Sergeant. Gauges are dropping... losing voltage...",101
Stavrou?,101
"She's dead, Sergeant.",101
"All right, dismount. Grab anything you think we can use.",101
Hot as hell here.,102
No lights.,102
My watch stopped.,102
Something's generating heat. Messing with our electronics. Sucking up all the power...,102
Where would you put a critical asset if you wanted to protect it? Or hide it?,102
Underground.,102
"Harris, Adukwu, stay here, watch the street.",103
Let's go.,103
"You two stay here, watch our backs. Imlay, come with me.",103
No. Save it. Something is killing anything electronic we use.,104
"Run, Imlay! Run!",104
How many?,106
Hard to tell. A lot.,106
I think I got their attention.,106
"Look. There's something big down in the tunnels. It's sucking up a lot of power, could be a major Command &.Control asset.",106
We need to destroy it.,106
"But we got no jets left, right, Sergeant?",106
"Hopefully, they can still fire cruise missiles from Pendleton or Vandenburg... I'll radio in a strike, paint the target from the street. You know what that means.",106
We gotta hold 'em off long enough to paint the target.,106
If we can get a transmission out before the radio dies...,106
And the targeting laser lasts long enough for command to get a lock on the target.,106
"Hell, dying's easy, ladies. Everything else takes balls, right?",106
Let's do it.,106
"Any station, this is Foxtrot 2 November. Priority Fire Mission. I have identified a major enemy command and control asset  located grid 459083. 1 WILL BE LASING.",106
Foxtrot 2. You have visual confirmation of this C&C asset? We can't waste resources.,106
Affirmative. They're building a huge complex underground... I think it's the head of the snake. Repeat. I will be...,106
